sim_id,highway_speed,ramp_speed,vehsPerHour_main,vehsPerHour_ramp,vehsPerHour_total,meanSpeed_avg
ramp.edg,30.0,20.0,800.0,200.0,1000.0,22.290962222222223
ramp.edg,30.0,20.0,800.0,300.0,1100.0,21.867233333333335
ramp.edg,30.0,20.0,800.0,400.0,1200.0,21.616544444444443
ramp.edg,30.0,20.0,800.0,500.0,1300.0,21.246324444444443
ramp.edg,30.0,20.0,800.0,600.0,1400.0,20.94783111111111
ramp.edg,30.0,20.0,800.0,700.0,1500.0,20.969133333333332
ramp.edg,30.0,20.0,800.0,800.0,1600.0,20.616024444444445
ramp.edg,30.0,20.0,800.0,900.0,1700.0,20.345873333333333
ramp.edg,30.0,20.0,800.0,1000.0,1800.0,19.99446222222222
ramp.edg,30.0,20.0,800.0,1100.0,1900.0,20.075253333333333
ramp.edg,30.0,20.0,800.0,1200.0,2000.0,19.85062
ramp.edg,30.0,20.0,800.0,1300.0,2100.0,19.674204444444445
ramp.edg,30.0,20.0,800.0,1400.0,2200.0,19.325
ramp.edg,30.0,20.0,800.0,1500.0,2300.0,19.051642222222224
ramp.edg,30.0,20.0,800.0,1600.0,2400.0,18.679391111111112
ramp.edg,30.0,20.0,800.0,1700.0,2500.0,18.14960222222222
ramp.edg,30.0,20.0,800.0,1800.0,2600.0,17.503424444444445
ramp.edg,30.0,20.0,800.0,1900.0,2700.0,18.020513333333334
ramp.edg,30.0,20.0,900.0,200.0,1100.0,22.26966
ramp.edg,30.0,20.0,900.0,300.0,1200.0,22.09102
ramp.edg,30.0,20.0,900.0,400.0,1300.0,21.767515555555555
ramp.edg,30.0,20.0,900.0,500.0,1400.0,21.46328
ramp.edg,30.0,20.0,900.0,600.0,1500.0,20.924004444444446
ramp.edg,30.0,20.0,900.0,700.0,1600.0,20.81978888888889
ramp.edg,30.0,20.0,900.0,800.0,1700.0,20.601446666666668
ramp.edg,30.0,20.0,900.0,900.0,1800.0,20.419335555555556
ramp.edg,30.0,20.0,900.0,1000.0,1900.0,20.151346666666665
ramp.edg,30.0,20.0,900.0,1100.0,2000.0,20.088626666666666
ramp.edg,30.0,20.0,900.0,1200.0,2100.0,19.867253333333334
ramp.edg,30.0,20.0,900.0,1300.0,2200.0,19.604055555555554
ramp.edg,30.0,20.0,900.0,1400.0,2300.0,19.43948
ramp.edg,30.0,20.0,900.0,1500.0,2400.0,19.059926666666666
ramp.edg,30.0,20.0,900.0,1600.0,2500.0,18.909335555555554
ramp.edg,30.0,20.0,900.0,1700.0,2600.0,18.265326666666667
ramp.edg,30.0,20.0,900.0,1800.0,2700.0,17.569304444444445
ramp.edg,30.0,20.0,900.0,1900.0,2800.0,18.15125111111111
ramp.edg,30.0,20.0,1000.0,200.0,1200.0,22.424775555555556
ramp.edg,30.0,20.0,1000.0,300.0,1300.0,22.079711111111113
ramp.edg,30.0,20.0,1000.0,400.0,1400.0,21.700588888888888
ramp.edg,30.0,20.0,1000.0,500.0,1500.0,21.595366666666667
ramp.edg,30.0,20.0,1000.0,600.0,1600.0,21.17148
ramp.edg,30.0,20.0,1000.0,700.0,1700.0,20.923075555555556
ramp.edg,30.0,20.0,1000.0,800.0,1800.0,20.734564444444445
ramp.edg,30.0,20.0,1000.0,900.0,1900.0,20.54149333333333
ramp.edg,30.0,20.0,1000.0,1000.0,2000.0,20.313653333333335
ramp.edg,30.0,20.0,1000.0,1100.0,2100.0,20.350757777777776
ramp.edg,30.0,20.0,1000.0,1200.0,2200.0,19.927404444444445
ramp.edg,30.0,20.0,1000.0,1300.0,2300.0,19.846573333333332
ramp.edg,30.0,20.0,1000.0,1400.0,2400.0,19.479886666666665
ramp.edg,30.0,20.0,1000.0,1500.0,2500.0,19.48395777777778
ramp.edg,30.0,20.0,1000.0,1600.0,2600.0,18.995317777777778
ramp.edg,30.0,20.0,1000.0,1700.0,2700.0,18.414566666666666
ramp.edg,30.0,20.0,1000.0,1800.0,2800.0,17.71098222222222
ramp.edg,30.0,20.0,1000.0,1900.0,2900.0,18.433922222222222
ramp.edg,30.0,20.0,1100.0,200.0,1300.0,22.52864888888889
ramp.edg,30.0,20.0,1100.0,300.0,1400.0,22.088148888888888
ramp.edg,30.0,20.0,1100.0,400.0,1500.0,21.97354888888889
ramp.edg,30.0,20.0,1100.0,500.0,1600.0,21.62128
ramp.edg,30.0,20.0,1100.0,600.0,1700.0,21.175095555555554
ramp.edg,30.0,20.0,1100.0,700.0,1800.0,21.010177777777777
ramp.edg,30.0,20.0,1100.0,800.0,1900.0,20.870704444444446
ramp.edg,30.0,20.0,1100.0,900.0,2000.0,20.727655555555554
ramp.edg,30.0,20.0,1100.0,1000.0,2100.0,20.433135555555555
ramp.edg,30.0,20.0,1100.0,1100.0,2200.0,20.277115555555557
ramp.edg,30.0,20.0,1100.0,1200.0,2300.0,20.075031111111112
ramp.edg,30.0,20.0,1100.0,1300.0,2400.0,19.800428888888888
ramp.edg,30.0,20.0,1100.0,1400.0,2500.0,19.605897777777777
ramp.edg,30.0,20.0,1100.0,1500.0,2600.0,19.513917777777777
ramp.edg,30.0,20.0,1100.0,1600.0,2700.0,19.062533333333334
ramp.edg,30.0,20.0,1100.0,1700.0,2800.0,18.45195111111111
ramp.edg,30.0,20.0,1100.0,1800.0,2900.0,17.70596
ramp.edg,30.0,20.0,1100.0,1900.0,3000.0,18.484673333333333
ramp.edg,30.0,20.0,1200.0,200.0,1400.0,22.235622222222222
ramp.edg,30.0,20.0,1200.0,300.0,1500.0,22.014133333333334
ramp.edg,30.0,20.0,1200.0,400.0,1600.0,21.75202888888889
ramp.edg,30.0,20.0,1200.0,500.0,1700.0,21.53040222222222
ramp.edg,30.0,20.0,1200.0,600.0,1800.0,21.221844444444443
ramp.edg,30.0,20.0,1200.0,700.0,1900.0,20.927297777777778
ramp.edg,30.0,20.0,1200.0,800.0,2000.0,20.780084444444444
ramp.edg,30.0,20.0,1200.0,900.0,2100.0,20.798724444444446
ramp.edg,30.0,20.0,1200.0,1000.0,2200.0,20.50895111111111
ramp.edg,30.0,20.0,1200.0,1100.0,2300.0,20.42529111111111
ramp.edg,30.0,20.0,1200.0,1200.0,2400.0,20.07076888888889
ramp.edg,30.0,20.0,1200.0,1300.0,2500.0,20.03423111111111
ramp.edg,30.0,20.0,1200.0,1400.0,2600.0,19.78397111111111
ramp.edg,30.0,20.0,1200.0,1500.0,2700.0,19.49889111111111
ramp.edg,30.0,20.0,1200.0,1600.0,2800.0,19.04756888888889
ramp.edg,30.0,20.0,1200.0,1700.0,2900.0,18.544873333333335
ramp.edg,30.0,20.0,1200.0,1800.0,3000.0,18.02078
ramp.edg,30.0,20.0,1200.0,1900.0,3100.0,18.661626666666667
ramp.edg,30.0,20.0,1300.0,200.0,1500.0,22.547926666666665
ramp.edg,30.0,20.0,1300.0,300.0,1600.0,22.094544444444445
ramp.edg,30.0,20.0,1300.0,400.0,1700.0,21.79391111111111
ramp.edg,30.0,20.0,1300.0,500.0,1800.0,21.458666666666666
ramp.edg,30.0,20.0,1300.0,600.0,1900.0,21.284802222222222
ramp.edg,30.0,20.0,1300.0,700.0,2000.0,21.19758
ramp.edg,30.0,20.0,1300.0,800.0,2100.0,21.08717777777778
ramp.edg,30.0,20.0,1300.0,900.0,2200.0,20.675393333333332
ramp.edg,30.0,20.0,1300.0,1000.0,2300.0,20.551613333333332
ramp.edg,30.0,20.0,1300.0,1100.0,2400.0,20.37557333333333
ramp.edg,30.0,20.0,1300.0,1200.0,2500.0,20.22783111111111
ramp.edg,30.0,20.0,1300.0,1300.0,2600.0,20.065275555555555
ramp.edg,30.0,20.0,1300.0,1400.0,2700.0,19.811677777777778
ramp.edg,30.0,20.0,1300.0,1500.0,2800.0,19.49529777777778
ramp.edg,30.0,20.0,1300.0,1600.0,2900.0,19.065046666666667
ramp.edg,30.0,20.0,1300.0,1700.0,3000.0,18.618335555555557
ramp.edg,30.0,20.0,1300.0,1800.0,3100.0,18.09516888888889
ramp.edg,30.0,20.0,1300.0,1900.0,3200.0,18.72333777777778
ramp.edg,30.0,20.0,1400.0,200.0,1600.0,22.510562222222223
ramp.edg,30.0,20.0,1400.0,300.0,1700.0,22.159493333333334
ramp.edg,30.0,20.0,1400.0,400.0,1800.0,21.76088
ramp.edg,30.0,20.0,1400.0,500.0,1900.0,21.773313333333334
ramp.edg,30.0,20.0,1400.0,600.0,2000.0,21.566586666666666
ramp.edg,30.0,20.0,1400.0,700.0,2100.0,21.330682222222222
ramp.edg,30.0,20.0,1400.0,800.0,2200.0,21.07776888888889
ramp.edg,30.0,20.0,1400.0,900.0,2300.0,20.94994888888889
ramp.edg,30.0,20.0,1400.0,1000.0,2400.0,20.693651111111112
ramp.edg,30.0,20.0,1400.0,1100.0,2500.0,20.649731111111112
ramp.edg,30.0,20.0,1400.0,1200.0,2600.0,20.465688888888888
ramp.edg,30.0,20.0,1400.0,1300.0,2700.0,20.036264444444445
ramp.edg,30.0,20.0,1400.0,1400.0,2800.0,19.820306666666667
ramp.edg,30.0,20.0,1400.0,1500.0,2900.0,19.469433333333335
ramp.edg,30.0,20.0,1400.0,1600.0,3000.0,19.323346666666666
ramp.edg,30.0,20.0,1400.0,1700.0,3100.0,18.833246666666668
ramp.edg,30.0,20.0,1400.0,1800.0,3200.0,18.248237777777778
ramp.edg,30.0,20.0,1400.0,1900.0,3300.0,18.78968888888889
ramp.edg,30.0,20.0,1500.0,200.0,1700.0,22.281586666666666
ramp.edg,30.0,20.0,1500.0,300.0,1800.0,22.091213333333332
ramp.edg,30.0,20.0,1500.0,400.0,1900.0,21.731717777777778
ramp.edg,30.0,20.0,1500.0,500.0,2000.0,21.645866666666667
ramp.edg,30.0,20.0,1500.0,600.0,2100.0,21.520128888888888
ramp.edg,30.0,20.0,1500.0,700.0,2200.0,21.154431111111112
ramp.edg,30.0,20.0,1500.0,800.0,2300.0,21.16046888888889
ramp.edg,30.0,20.0,1500.0,900.0,2400.0,20.744526666666665
ramp.edg,30.0,20.0,1500.0,1000.0,2500.0,20.588404444444443
ramp.edg,30.0,20.0,1500.0,1100.0,2600.0,20.446435555555556
ramp.edg,30.0,20.0,1500.0,1200.0,2700.0,20.19556222222222
ramp.edg,30.0,20.0,1500.0,1300.0,2800.0,20.11582222222222
ramp.edg,30.0,20.0,1500.0,1400.0,2900.0,19.955535555555556
ramp.edg,30.0,20.0,1500.0,1500.0,3000.0,19.686035555555556
ramp.edg,30.0,20.0,1500.0,1600.0,3100.0,19.4729
ramp.edg,30.0,20.0,1500.0,1700.0,3200.0,18.834295555555556
ramp.edg,30.0,20.0,1500.0,1800.0,3300.0,18.25442888888889
ramp.edg,30.0,20.0,1500.0,1900.0,3400.0,19.11194
ramp.edg,30.0,20.0,1600.0,200.0,1800.0,22.337893333333334
ramp.edg,30.0,20.0,1600.0,300.0,1900.0,22.160506666666667
ramp.edg,30.0,20.0,1600.0,400.0,2000.0,21.964493333333333
ramp.edg,30.0,20.0,1600.0,500.0,2100.0,21.811717777777776
ramp.edg,30.0,20.0,1600.0,600.0,2200.0,21.450875555555555
ramp.edg,30.0,20.0,1600.0,700.0,2300.0,21.28378888888889
ramp.edg,30.0,20.0,1600.0,800.0,2400.0,21.001637777777777
ramp.edg,30.0,20.0,1600.0,900.0,2500.0,21.02598
ramp.edg,30.0,20.0,1600.0,1000.0,2600.0,20.92331777777778
ramp.edg,30.0,20.0,1600.0,1100.0,2700.0,20.531775555555555
ramp.edg,30.0,20.0,1600.0,1200.0,2800.0,20.315686666666668
ramp.edg,30.0,20.0,1600.0,1300.0,2900.0,20.090606666666666
ramp.edg,30.0,20.0,1600.0,1400.0,3000.0,19.960775555555557
ramp.edg,30.0,20.0,1600.0,1500.0,3100.0,19.714144444444443
ramp.edg,30.0,20.0,1600.0,1600.0,3200.0,19.395226666666666
ramp.edg,30.0,20.0,1600.0,1700.0,3300.0,18.841637777777777
ramp.edg,30.0,20.0,1600.0,1800.0,3400.0,18.374564444444445
ramp.edg,30.0,20.0,1600.0,1900.0,3500.0,19.06745777777778
ramp.edg,30.0,20.0,1700.0,200.0,1900.0,22.400795555555554
ramp.edg,30.0,20.0,1700.0,300.0,2000.0,22.249202222222223
ramp.edg,30.0,20.0,1700.0,400.0,2100.0,21.997506666666666
ramp.edg,30.0,20.0,1700.0,500.0,2200.0,21.66972
ramp.edg,30.0,20.0,1700.0,600.0,2300.0,21.600633333333334
ramp.edg,30.0,20.0,1700.0,700.0,2400.0,21.252775555555555
ramp.edg,30.0,20.0,1700.0,800.0,2500.0,21.045253333333335
ramp.edg,30.0,20.0,1700.0,900.0,2600.0,20.90486222222222
ramp.edg,30.0,20.0,1700.0,1000.0,2700.0,20.722344444444445
ramp.edg,30.0,20.0,1700.0,1100.0,2800.0,20.581095555555557
ramp.edg,30.0,20.0,1700.0,1200.0,2900.0,20.293128888888887
ramp.edg,30.0,20.0,1700.0,1300.0,3000.0,20.29496888888889
ramp.edg,30.0,20.0,1700.0,1400.0,3100.0,20.00188888888889
ramp.edg,30.0,20.0,1700.0,1500.0,3200.0,19.694037777777776
ramp.edg,30.0,20.0,1700.0,1600.0,3300.0,19.416935555555554
ramp.edg,30.0,20.0,1700.0,1700.0,3400.0,19.057388888888887
ramp.edg,30.0,20.0,1700.0,1800.0,3500.0,18.550673333333332
ramp.edg,30.0,20.0,1700.0,1900.0,3600.0,19.198517777777777
ramp.edg,30.0,20.0,1800.0,200.0,2000.0,22.393177777777776
ramp.edg,30.0,20.0,1800.0,300.0,2100.0,22.19802
ramp.edg,30.0,20.0,1800.0,400.0,2200.0,21.840966666666667
ramp.edg,30.0,20.0,1800.0,500.0,2300.0,21.778904444444443
ramp.edg,30.0,20.0,1800.0,600.0,2400.0,21.457153333333334
ramp.edg,30.0,20.0,1800.0,700.0,2500.0,21.458453333333335
ramp.edg,30.0,20.0,1800.0,800.0,2600.0,21.228748888888887
ramp.edg,30.0,20.0,1800.0,900.0,2700.0,20.832453333333333
ramp.edg,30.0,20.0,1800.0,1000.0,2800.0,20.70162
ramp.edg,30.0,20.0,1800.0,1100.0,2900.0,20.46846888888889
ramp.edg,30.0,20.0,1800.0,1200.0,3000.0,20.309786666666668
ramp.edg,30.0,20.0,1800.0,1300.0,3100.0,20.384713333333334
ramp.edg,30.0,20.0,1800.0,1400.0,3200.0,19.835706666666667
ramp.edg,30.0,20.0,1800.0,1500.0,3300.0,19.659055555555554
ramp.edg,30.0,20.0,1800.0,1600.0,3400.0,19.375235555555555
ramp.edg,30.0,20.0,1800.0,1700.0,3500.0,18.950395555555556
ramp.edg,30.0,20.0,1800.0,1800.0,3600.0,18.822344444444443
ramp.edg,30.0,20.0,1800.0,1900.0,3700.0,19.185506666666665
ramp.edg,30.0,20.0,1900.0,200.0,2100.0,22.369384444444446
ramp.edg,30.0,20.0,1900.0,300.0,2200.0,22.072953333333334
ramp.edg,30.0,20.0,1900.0,400.0,2300.0,22.040277777777778
ramp.edg,30.0,20.0,1900.0,500.0,2400.0,21.780184444444444
ramp.edg,30.0,20.0,1900.0,600.0,2500.0,21.517075555555557
ramp.edg,30.0,20.0,1900.0,700.0,2600.0,21.363233333333334
ramp.edg,30.0,20.0,1900.0,800.0,2700.0,21.086568888888888
ramp.edg,30.0,20.0,1900.0,900.0,2800.0,20.96274888888889
ramp.edg,30.0,20.0,1900.0,1000.0,2900.0,20.601757777777777
ramp.edg,30.0,20.0,1900.0,1100.0,3000.0,20.673755555555555
ramp.edg,30.0,20.0,1900.0,1200.0,3100.0,20.42719333333333
ramp.edg,30.0,20.0,1900.0,1300.0,3200.0,20.164506666666668
ramp.edg,30.0,20.0,1900.0,1400.0,3300.0,19.965404444444445
ramp.edg,30.0,20.0,1900.0,1500.0,3400.0,19.827726666666667
ramp.edg,30.0,20.0,1900.0,1600.0,3500.0,19.435286666666666
ramp.edg,30.0,20.0,1900.0,1700.0,3600.0,19.0896
ramp.edg,30.0,20.0,1900.0,1800.0,3700.0,18.56739111111111
ramp.edg,30.0,20.0,1900.0,1900.0,3800.0,19.43778
ramp.edg,30.0,20.0,2000.0,200.0,2200.0,22.33594
ramp.edg,30.0,20.0,2000.0,300.0,2300.0,22.25398
ramp.edg,30.0,20.0,2000.0,400.0,2400.0,21.957864444444443
ramp.edg,30.0,20.0,2000.0,500.0,2500.0,21.87623333333333
ramp.edg,30.0,20.0,2000.0,600.0,2600.0,21.64412
ramp.edg,30.0,20.0,2000.0,700.0,2700.0,21.271242222222224
ramp.edg,30.0,20.0,2000.0,800.0,2800.0,21.06080888888889
ramp.edg,30.0,20.0,2000.0,900.0,2900.0,20.964904444444443
ramp.edg,30.0,20.0,2000.0,1000.0,3000.0,20.693626666666667
ramp.edg,30.0,20.0,2000.0,1100.0,3100.0,20.724435555555555
ramp.edg,30.0,20.0,2000.0,1200.0,3200.0,20.36551111111111
ramp.edg,30.0,20.0,2000.0,1300.0,3300.0,20.123337777777778
ramp.edg,30.0,20.0,2000.0,1400.0,3400.0,19.985491111111113
ramp.edg,30.0,20.0,2000.0,1500.0,3500.0,19.6728
ramp.edg,30.0,20.0,2000.0,1600.0,3600.0,19.49908
ramp.edg,30.0,20.0,2000.0,1700.0,3700.0,19.020511111111112
ramp.edg,30.0,20.0,2000.0,1800.0,3800.0,18.672466666666665
ramp.edg,30.0,20.0,2000.0,1900.0,3900.0,19.52929333333333
ramp.edg,30.0,20.0,2100.0,200.0,2300.0,22.340953333333335
ramp.edg,30.0,20.0,2100.0,300.0,2400.0,22.14123111111111
ramp.edg,30.0,20.0,2100.0,400.0,2500.0,21.884991111111113
ramp.edg,30.0,20.0,2100.0,500.0,2600.0,22.04514888888889
ramp.edg,30.0,20.0,2100.0,600.0,2700.0,21.54393333333333
ramp.edg,30.0,20.0,2100.0,700.0,2800.0,21.328397777777777
ramp.edg,30.0,20.0,2100.0,800.0,2900.0,21.17188
ramp.edg,30.0,20.0,2100.0,900.0,3000.0,21.012797777777777
ramp.edg,30.0,20.0,2100.0,1000.0,3100.0,21.00372888888889
ramp.edg,30.0,20.0,2100.0,1100.0,3200.0,20.566344444444443
ramp.edg,30.0,20.0,2100.0,1200.0,3300.0,20.339493333333333
ramp.edg,30.0,20.0,2100.0,1300.0,3400.0,20.286253333333335
ramp.edg,30.0,20.0,2100.0,1400.0,3500.0,19.88267777777778
ramp.edg,30.0,20.0,2100.0,1500.0,3600.0,19.91936888888889
ramp.edg,30.0,20.0,2100.0,1600.0,3700.0,19.45767111111111
ramp.edg,30.0,20.0,2100.0,1700.0,3800.0,19.091606666666667
ramp.edg,30.0,20.0,2100.0,1800.0,3900.0,18.728102222222223
ramp.edg,30.0,20.0,2100.0,1900.0,4000.0,19.35786
ramp.edg,30.0,20.0,2200.0,200.0,2400.0,22.192184444444443
ramp.edg,30.0,20.0,2200.0,300.0,2500.0,22.21013111111111
ramp.edg,30.0,20.0,2200.0,400.0,2600.0,21.933797777777777
ramp.edg,30.0,20.0,2200.0,500.0,2700.0,21.662862222222223
ramp.edg,30.0,20.0,2200.0,600.0,2800.0,21.413055555555555
ramp.edg,30.0,20.0,2200.0,700.0,2900.0,21.203937777777778
ramp.edg,30.0,20.0,2200.0,800.0,3000.0,21.07780888888889
ramp.edg,30.0,20.0,2200.0,900.0,3100.0,20.933793333333334
ramp.edg,30.0,20.0,2200.0,1000.0,3200.0,20.525737777777778
ramp.edg,30.0,20.0,2200.0,1100.0,3300.0,20.41075111111111
ramp.edg,30.0,20.0,2200.0,1200.0,3400.0,20.32892888888889
